status,target,certifiable_alpha,R_J_hat,c_J_prime,n_records,n_M1,n_M0,true_positive,false_positive,TPR,FPR,reliable,unreliable_reason,repeat_index,n_M,n_J,zeta,alpha_min,alpha_max,alpha_step
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,0,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",1,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,2,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,3,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",4,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.54,0.35,0.35668919917292097,5,3,2,3,0,1.0,0.0,True,,5,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",6,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,7,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",8,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,9,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,10,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,11,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,12,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,3,2,3,0,1.0,0.0,True,,13,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,4,1,4,0,1.0,0.0,True,,14,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,4,1,4,0,1.0,0.0,True,,15,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.59,0.4,0.4091034879349963,5,3,2,3,0,1.0,0.0,True,,16,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",17,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.44,0.25,0.2574286568093023,5,3,2,3,0,1.0,0.0,True,,18,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.72,0.55,0.5548580064996133,5,4,1,4,0,1.0,0.0,True,,19,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",20,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.68,0.5,0.5084298604635467,5,4,1,4,0,1.0,0.0,True,,21,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.63,0.45,0.4524243570827292,5,4,1,4,0,1.0,0.0,True,,22,5,20,0.05,0.01,0.8,0.01
invalid_reliability,visual_factuality,,,,5,5,0,5,0,1.0,,False,"No human-labelled successes in D_M, so FPR cannot be estimated.",23,5,20,0.05,0.01,0.8,0.01
certified,visual_factuality,0.76,0.6,0.6029186315906621,5,4,1,4,0,1.0,0.0,True,,24,5,20,0.05,0.01,0.8,0.01
