judge_label,judge_failure_reason,item_id,image_id,image_type,target,qa_json_path,checker_raw_response,checker_error,record_key,stage
0,,charts_0081_001,charts_0081,charts,visual_factuality,Medium Dataset/charts/qa/charts_0081.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/charts/qa/charts_0081.json::0::charts_0081_001,gold
0,,receipts_0108_001,receipts_0108,receipts,visual_factuality,Medium Dataset/receipts/qa/receipts_0108.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/receipts/qa/receipts_0108.json::0::receipts_0108_001,gold
1,Incorrect SIS# value,documents_0027_001,documents_0027,documents,visual_factuality,Medium Dataset/documents/qa/documents_0027.json,"{
  ""judge_label"": 1,
  ""failure_reason"": ""Incorrect SIS# value""
}",,Medium Dataset/documents/qa/documents_0027.json::0::documents_0027_001,gold
1,"Missing field values for 'ITEMS', 'QUANTITY REQUIRED', 'SHIP TO', 'CUSTOMER SHIPPING NUMBER', 'NYO ONLY', 'DATE FORWARDED TO PROMOTION SERVICES'",forms_0015_001,forms_0015,forms,visual_factuality,Medium Dataset/forms/qa/forms_0015.json,"{
  ""judge_label"": 1,
  ""failure_reason"": ""Missing field values for 'ITEMS', 'QUANTITY REQUIRED', 'SHIP TO', 'CUSTOMER SHIPPING NUMBER', 'NYO ONLY', 'DATE FORWARDED TO PROMOTION SERVICES'""
}",,Medium Dataset/forms/qa/forms_0015.json::0::forms_0015_001,gold
0,,screenshots_0039_001,screenshots_0039,screenshots,visual_factuality,Medium Dataset/screenshots/qa/screenshots_0039.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/screenshots/qa/screenshots_0039.json::0::screenshots_0039_001,gold
0,,charts_0014_001,charts_0014,charts,visual_factuality,Medium Dataset/charts/qa/charts_0014.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/charts/qa/charts_0014.json::0::charts_0014_001,gold
0,,receipts_0023_001,receipts_0023,receipts,visual_factuality,Medium Dataset/receipts/qa/receipts_0023.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/receipts/qa/receipts_0023.json::0::receipts_0023_001,gold
0,,documents_0072_001,documents_0072,documents,visual_factuality,Medium Dataset/documents/qa/documents_0072.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/documents/qa/documents_0072.json::0::documents_0072_001,gold
1,Incorrect field values,forms_0031_001,forms_0031,forms,visual_factuality,Medium Dataset/forms/qa/forms_0031.json,"{
  ""judge_label"": 1,
  ""failure_reason"": ""Incorrect field values""
}",,Medium Dataset/forms/qa/forms_0031.json::0::forms_0031_001,gold
0,,screenshots_0046_001,screenshots_0046,screenshots,visual_factuality,Medium Dataset/screenshots/qa/screenshots_0046.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/screenshots/qa/screenshots_0046.json::0::screenshots_0046_001,gold
0,,charts_0003_001,charts_0003,charts,visual_factuality,Medium Dataset/charts/qa/charts_0003.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/charts/qa/charts_0003.json::0::charts_0003_001,gold
0,,receipts_0008_001,receipts_0008,receipts,visual_factuality,Medium Dataset/receipts/qa/receipts_0008.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/receipts/qa/receipts_0008.json::0::receipts_0008_001,gold
0,,documents_0091_001,documents_0091,documents,visual_factuality,Medium Dataset/documents/qa/documents_0091.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/documents/qa/documents_0091.json::0::documents_0091_001,gold
1,"Incorrect value for 'TRIM SIZE': 14 1/2"" X 18"" vs 14 1/2"" X 8"" - 116 sq.""",forms_0028_001,forms_0028,forms,visual_factuality,Medium Dataset/forms/qa/forms_0028.json,"{
  ""judge_label"": 1,
  ""failure_reason"": ""Incorrect value for 'TRIM SIZE': 14 1/2\"" X 18\"" vs 14 1/2\"" X 8\"" - 116 sq.\""""
}",,Medium Dataset/forms/qa/forms_0028.json::0::forms_0028_001,gold
0,,screenshots_0101_001,screenshots_0101,screenshots,visual_factuality,Medium Dataset/screenshots/qa/screenshots_0101.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/screenshots/qa/screenshots_0101.json::0::screenshots_0101_001,gold
0,,charts_0094_001,charts_0094,charts,visual_factuality,Medium Dataset/charts/qa/charts_0094.json,"{
  ""judge_label"": 0,
  ""failure_reason"": null
}",,Medium Dataset/charts/qa/charts_0094.json::0::charts_0094_001,gold
