human_label,human_failure_reason,target,model_input_image_path,prompt,expected_evidence,expected_answer_or_behavior,target_model_response,notes,record_key
0,,visual_factuality,dataset/screenshots/images/screenshots_0001.jpg,Which number is selected for TD recommendation?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: Which number is selected for TD recommendation?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",The number selected for TD recommendation is 10.,Answer must be directly supported by visible image evidence.,dataset/screenshots/qa/screenshots_0001.json::0::screenshots_0001_001
0,,visual_factuality,dataset/charts/images/charts_0014.jpg,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]","34,171 students were registered at Stockholm University in 2019.",Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0014.json::0::charts_0014_001
1,,visual_factuality,dataset/charts/images/charts_0003.jpg,What percentage of all oil consumed in the OECD is petrochemical?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",13.63% of all oil consumed in the OECD is used for petrochemicals.,Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0003.json::0::charts_0003_001
1,,visual_factuality,dataset/screenshots/images/screenshots_0014.jpg,"What's the status of the ""Auto-Sleep""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",Answer must be directly supported by visible image evidence.,dataset/screenshots/qa/screenshots_0014.json::0::screenshots_0014_001
1,,visual_factuality,dataset/documents/images/documents_0015.jpg,By which kind of road are Colchester and Yantic connected?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: By which kind of road are Colchester and Yantic connected?",Macadam & Gravel,"Colchester and Yantic are connected by a road marked as ""B-3,"" which corresponds to the Mohawk Trail according to the map's legend.",Answer must be directly supported by visible image evidence.,dataset/documents/qa/documents_0015.json::0::documents_0015_001
0,,robustness,dataset/documents/robust/documents_0011_compression.jpg,"How many times do people get in the head in Nyoka and the Witch Doctor's Madness? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: How many times do people get in the head in Nyoka and the Witch Doctor's Madness?",4,"The image does not provide any information about how many times people get hit in the head in ""Nyoka and the Witch Doctor's Madness."" The content of the comic itself is not depicted in the image, only the cover. Therefore, the answer cannot be determined from the image provided.",Robustness variant: compression.,dataset/documents/qa/documents_0011.json::1::documents_0011_002
1,,robustness,dataset/documents/robust/documents_0008_low_contrast.jpg,"Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?",16,The last stand you will encounter if you keep going north in the main avenue is stand number 6.,Robustness variant: low_contrast.,dataset/documents/qa/documents_0008.json::1::documents_0008_002
1,,robustness,dataset/charts/robust/charts_0017_crop.jpg,"How many tourists arrived in Bulgaria in 2018? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many tourists arrived in Bulgaria in 2018?","[""7.8""]",7.8 million tourists arrived in Bulgaria in 2018.,Robustness variant: crop.,dataset/charts/qa/charts_0017.json::1::charts_0017_002
1,,robustness,dataset/screenshots/robust/screenshots_0014_rotate_15.jpg,"What's the status of the ""Auto-Sleep""? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",Robustness variant: rotate_15.,dataset/screenshots/qa/screenshots_0014.json::1::screenshots_0014_002
1,,robustness,dataset/charts/robust/charts_0013_low_contrast.jpg,"How much revenue did Cardinal Health generate in the U.S. in FY 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much revenue did Cardinal Health generate in the U.S. in FY 2020?","[""148.71""]",Cardinal Health generated $148.71 billion in revenue in the U.S. in FY 2020.,Robustness variant: low_contrast.,dataset/charts/qa/charts_0013.json::1::charts_0013_002
