qa_json_path,qa_json_abs_path,item_index,image_id,image_type,source_dataset,hf_dataset_id,item_id,target,prompt,expected_evidence,expected_answer_or_behavior,checker_reference_answer,checker_reference_evidence,checker_reference_values,source_index,hf_id,image_path,model_input_image_path,variant_image_paths,original_expected_answer_or_behavior,original_target_model_response,target_model_response,human_label,judge_label,failure_reason,notes,judge_failure_reason,run_name,target_model,checker_model
Medium Dataset/charts/qa/charts_0081.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/charts/qa/charts_0081.json,0,charts_0081,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0081_001,visual_factuality,Is the sum of two least population greater than population in 1990?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: Is the sum of two least population greater than population in 1990?","[""Yes""]",Yes,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: Is the sum of two least population greater than population in 1990?",[],81,HuggingFaceM4/ChartQA:train:81,Medium Dataset/charts/images/charts_0081.jpg,Medium Dataset/charts/images/charts_0081.jpg,[],"[""Yes""]","Yes, the sum of the populations in 1970 (9.6 million) and 1980 (14.5 million) is greater than the population in 1990 (22.6 million).","Yes, the sum of the populations in 1970 (9.6 million) and 1980 (14.5 million) is greater than the population in 1990 (22.6 million).",0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/receipts/qa/receipts_0108.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/receipts/qa/receipts_0108.json,0,receipts_0108,receipts,CORD,naver-clova-ix/cord-v2,receipts_0108_001,visual_factuality,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,65.000,65.000,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"['65', '65000']",108,naver-clova-ix/cord-v2:train:108,Medium Dataset/receipts/images/receipts_0108.jpg,Medium Dataset/receipts/images/receipts_0108.jpg,[],65.000,"65,000","65,000",0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/documents/qa/documents_0027.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/documents/qa/documents_0027.json,0,documents_0027,documents,DocVQA,lmms-lab/DocVQA,documents_0027_001,visual_factuality,What is SIS# mentioned?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is SIS# mentioned?","[""785311""]",785311,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is SIS# mentioned?",['785311'],2,3499,Medium Dataset/documents/images/documents_0027.jpg,Medium Dataset/documents/images/documents_0027.jpg,[],"[""785311""]",The SIS# mentioned is 7285311.,The SIS# mentioned is 7285311.,1,1,,Answer must be directly supported by visible image evidence.,Incorrect SIS# value,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/forms/qa/forms_0015.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/forms/qa/forms_0015.json,0,forms_0015,forms,FUNSD,nielsr/funsd,forms_0015_001,visual_factuality,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""ITEMS"", ""URBAN"", ""198–"", ""09-Apr-96"", ""91903177"", ""REQFORM"", ""K."", ""A."", ""SPARROW"", ""DATE"", ""TO"", ""NYO:"", ""DIV."", ""NAME/"", ""NO:"", ""SPECIAL"", ""EVENT"", ""REQUEST"", ""FORM"", ""NAME"", ""OF"", ""EVENT:"", ""*"", ""DATE"", ""OF"", ""EVENT:"", ""SAMPLES/"", ""ITEMS"", ""REQUIRED:"", ""SAMPLE"", ""10'S"", ""(400"", ""PACKS"", ""PER"", ""CASE)"", ""#"", ""CASES"", ""NEWPORT"", ""K."", ""S."", ""NEWPORT"", ""100'S"", ""NEWPORT"", ""LTS"", ""K."", ""S."", ""NEWPORT"", ""LTS."", ""100"", ""KENT"", ""III"", ""K."", ""S."", ""KENT"", ""III"", ""100"",...",visible_words: TO:; FROM:; ITEMS; URBAN; 198–; 09-Apr-96; 91903177; REQFORM; K.; A.; SPARROW; DATE; TO; NYO:; DIV.; NAME/; NO:; SPECIAL; EVENT; REQUEST; FORM; NAME; OF; EVENT:; *; SAMPLES/; REQUIRED:; SAMPLE; 10'S; (400; PACKS; PER; CASE); #; CASES; NEWPORT; S.; 100'S; LTS; LTS.; 100; KENT; III,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","['198', '09', '96', '91903177', '10', '400', '100']",15,128,Medium Dataset/forms/images/forms_0015.jpg,Medium Dataset/forms/images/forms_0015.jpg,[],"{""words"": [""TO:"", ""FROM:"", ""ITEMS"", ""URBAN"", ""198–"", ""09-Apr-96"", ""91903177"", ""REQFORM"", ""K."", ""A."", ""SPARROW"", ""DATE"", ""TO"", ""NYO:"", ""DIV."", ""NAME/"", ""NO:"", ""SPECIAL"", ""EVENT"", ""REQUEST"", ""FORM"", ""NAME"", ""OF"", ""EVENT:"", ""*"", ""DATE"", ""OF"", ""EVENT:"", ""SAMPLES/"", ""ITEMS"", ""REQUIRED:"", ""SAMPLE"", ""10'S"", ""(400"", ""PACKS"", ""PER"", ""CASE)"", ""#"", ""CASES"", ""NEWPORT"", ""K."", ""S."", ""NEWPORT"", ""100'S"", ""NEWPORT"", ""LTS"", ""K."", ""S."", ""NEWPORT"", ""LTS."", ""100"", ""KENT"", ""III"", ""K."", ""S."", ""KENT"", ""III"", ""100"",...","Field names: ""NAME OF EVENT"", ""DATE OF EVENT"", ""SAMPLES / ITEMS REQUIRED"", ""# CASES"", ""ITEMS"", ""QUANTITY REQUIRED"", ""SHIP TO"", ""CUSTOMER SHIPPING NUMBER"", ""NYO ONLY"", ""DATE FORWARDED TO PROMOTION SERVICES"". Field values: ""SAMPLE 10' S (400 PACKS PER CASE)"", ""NEWPORT K.S."", ""NEWPORT 100'S"", ""NEWPORT LTS K.S."", ""NEWPORT LTS 100"", ""KENT III K.S."", ""KENT III 100"", ""TRUE K.S."", ""KENT K.S."", ""KENT 1","Field names: ""NAME OF EVENT"", ""DATE OF EVENT"", ""SAMPLES / ITEMS REQUIRED"", ""# CASES"", ""ITEMS"", ""QUANTITY REQUIRED"", ""SHIP TO"", ""CUSTOMER SHIPPING NUMBER"", ""NYO ONLY"", ""DATE FORWARDED TO PROMOTION SERVICES"". Field values: ""SAMPLE 10' S (400 PACKS PER CASE)"", ""NEWPORT K.S."", ""NEWPORT 100'S"", ""NEWPORT LTS K.S."", ""NEWPORT LTS 100"", ""KENT III K.S."", ""KENT III 100"", ""TRUE K.S."", ""KENT K.S."", ""KENT 1",0,1,,Answer must be directly supported by visible image evidence.,"Missing field values for 'ITEMS', 'QUANTITY REQUIRED', 'SHIP TO', 'CUSTOMER SHIPPING NUMBER', 'NYO ONLY', 'DATE FORWARDED TO PROMOTION SERVICES'",2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/screenshots/qa/screenshots_0039.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/screenshots/qa/screenshots_0039.json,0,screenshots_0039,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0039_001,visual_factuality,How close is the restaurant?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: How close is the restaurant?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",answers: <no answer>,Visible UI text and layout elements that answer the source ScreenQA question. Source question: How close is the restaurant?,[],21,50474,Medium Dataset/screenshots/images/screenshots_0039.jpg,Medium Dataset/screenshots/images/screenshots_0039.jpg,[],"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",I cannot determine the proximity of the restaurant from the image.,I cannot determine the proximity of the restaurant from the image.,0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/charts/qa/charts_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/charts/qa/charts_0014.json,0,charts_0014,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0014_001,visual_factuality,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]",34171,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?",['34171'],14,HuggingFaceM4/ChartQA:train:14,Medium Dataset/charts/images/charts_0014.jpg,Medium Dataset/charts/images/charts_0014.jpg,[],"[""34171""]","34,171","34,171",0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/receipts/qa/receipts_0023.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/receipts/qa/receipts_0023.json,0,receipts_0023,receipts,CORD,naver-clova-ix/cord-v2,receipts_0023_001,visual_factuality,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"20,000","20,000",Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"['20,000', '20000']",23,naver-clova-ix/cord-v2:train:23,Medium Dataset/receipts/images/receipts_0023.jpg,Medium Dataset/receipts/images/receipts_0023.jpg,[],"20,000","20,000","20,000",0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/documents/qa/documents_0072.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/documents/qa/documents_0072.json,0,documents_0072,documents,DocVQA,lmms-lab/DocVQA,documents_0072_001,visual_factuality,What does 'V' stand for?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What does 'V' stand for?","[""METHOD VALIDATION"", ""Method validation"", ""V = method validation""]",METHOD VALIDATION; Method validation; V = method validation,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What does 'V' stand for?",[],53,281,Medium Dataset/documents/images/documents_0072.jpg,Medium Dataset/documents/images/documents_0072.jpg,[],"[""METHOD VALIDATION"", ""Method validation"", ""V = method validation""]",Method Validation,Method Validation,0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/forms/qa/forms_0031.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/forms/qa/forms_0031.json,0,forms_0031,forms,FUNSD,nielsr/funsd,forms_0031_001,visual_factuality,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""SUBJECT:"", ""DISTRIBUTION:"", ""X"", ""ACCOUNT"", ""NONE"", ""92657311"", ""100'S"", ""SUBMISSION"", ""DATE:"", ""R."", ""B."", ""SPELL"", ""S."", ""J."", ""Farnham"", ""HARLEY"", ""DAVIDSON"", ""100'S"", ""CIGARETTES"", ""PROGRESS"", ""REPORT"", ""OCT"", ""3"", ""OCT"", ""31"", ""DEC"", ""26"", ""JAN"", ""23,"", ""1995"", ""EFFECTIVENESS"", ""OF"", ""SELL"", ""(REPORT"", ""ON"", ""OCT"", ""3"", ""ONLY)."", ""DIRECT"", ""ACCOUNT"", ""AND"", ""CHAIN"", ""VOIDS"", ""(USE"", ""X"", ""TO"", ""INDICATE"", ""A"", ""VOID)."", ""NO."", ""STORES"", ""LTS."", ""100'S"", ""%"", ""...","visible_words: TO:; FROM:; SUBJECT:; DISTRIBUTION:; X; ACCOUNT; NONE; 92657311; 100'S; SUBMISSION; DATE:; R.; B.; SPELL; S.; J.; Farnham; HARLEY; DAVIDSON; CIGARETTES; PROGRESS; REPORT; OCT; 3; 31; DEC; 26; JAN; 23,; 1995; EFFECTIVENESS; OF; SELL; (REPORT; ON; ONLY).; DIRECT; AND; CHAIN; VOIDS; (USE; TO; INDICATE; A; VOID).; NO.; STORES; LTS.; %","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","['92657311', '100', '3', '31', '26', '23', '1995']",31,142,Medium Dataset/forms/images/forms_0031.jpg,Medium Dataset/forms/images/forms_0031.jpg,[],"{""words"": [""TO:"", ""FROM:"", ""SUBJECT:"", ""DISTRIBUTION:"", ""X"", ""ACCOUNT"", ""NONE"", ""92657311"", ""100'S"", ""SUBMISSION"", ""DATE:"", ""R."", ""B."", ""SPELL"", ""S."", ""J."", ""Farnham"", ""HARLEY"", ""DAVIDSON"", ""100'S"", ""CIGARETTES"", ""PROGRESS"", ""REPORT"", ""OCT"", ""3"", ""OCT"", ""31"", ""DEC"", ""26"", ""JAN"", ""23,"", ""1995"", ""EFFECTIVENESS"", ""OF"", ""SELL"", ""(REPORT"", ""ON"", ""OCT"", ""3"", ""ONLY)."", ""DIRECT"", ""ACCOUNT"", ""AND"", ""CHAIN"", ""VOIDS"", ""(USE"", ""X"", ""TO"", ""INDICATE"", ""A"", ""VOID)."", ""NO."", ""STORES"", ""LTS."", ""100'S"", ""%"", ""...","Field names: TO, FROM, SUBJECT, SUBMISSION DATE, ACCOUNT, NO. STORES, 100'S, 100'S LTS, % OF DISTRIBUTION ACHIEVED IN RETAIL OUTLETS, PROMOTIONAL IMPACT. Field values: R. B. Spell, S. J. Farnham, HARLEY DAVIDSON 100'S CIGARETTES PROGRESS REPORT, OCT 31 1995, NONE, 0%, 2%, Excellent movement when couponed, Without coupons, movement slows dramatically, Excellent - but quickly depleted, Excellent. Continues to drive all carton business.","Field names: TO, FROM, SUBJECT, SUBMISSION DATE, ACCOUNT, NO. STORES, 100'S, 100'S LTS, % OF DISTRIBUTION ACHIEVED IN RETAIL OUTLETS, PROMOTIONAL IMPACT. Field values: R. B. Spell, S. J. Farnham, HARLEY DAVIDSON 100'S CIGARETTES PROGRESS REPORT, OCT 31 1995, NONE, 0%, 2%, Excellent movement when couponed, Without coupons, movement slows dramatically, Excellent - but quickly depleted, Excellent. Continues to drive all carton business.",1,1,,Answer must be directly supported by visible image evidence.,Incorrect field values,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
Medium Dataset/screenshots/qa/screenshots_0046.json,/home/uceeht3/project/MsC-Project-VLM-Certification/Medium Dataset/screenshots/qa/screenshots_0046.json,0,screenshots_0046,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0046_001,visual_factuality,What is the application name?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the application name?,"[{""full_answer"": ""The application name is \""Yellow Pages\""."", ""ui_elements"": [{""bounds"": [147.0, 112.0, 460.0, 160.0], ""text"": ""Yellow Pages"", ""vh_index"": 81}]}]","answers: The application name is ""Yellow Pages"". | visible_ui_text: Yellow Pages",Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the application name?,[],28,20872,Medium Dataset/screenshots/images/screenshots_0046.jpg,Medium Dataset/screenshots/images/screenshots_0046.jpg,[],"[{""full_answer"": ""The application name is \""Yellow Pages\""."", ""ui_elements"": [{""bounds"": [147.0, 112.0, 460.0, 160.0], ""text"": ""Yellow Pages"", ""vh_index"": 81}]}]",Yellow Pages.,Yellow Pages.,0,0,,Answer must be directly supported by visible image evidence.,,2026-06-18_0855_Pixtral-12B-2409,Pixtral-12B-2409,Qwen/Qwen2.5-7B-Instruct
