judge_label,judge_failure_reason,item_id,image_id,image_type,target,qa_json_path,record_key,stage
0,,charts_0000_001,charts_0000,charts,visual_factuality,dataset/charts/qa/charts_0000.json,dataset/charts/qa/charts_0000.json::0::charts_0000_001,evaluation
1,inconsistent answer across variants,charts_0000_002,charts_0000,charts,robustness,dataset/charts/qa/charts_0000.json,dataset/charts/qa/charts_0000.json::1::charts_0000_002,evaluation
0,,charts_0000_003,charts_0000,charts,refusal_behavior,dataset/charts/qa/charts_0000.json,dataset/charts/qa/charts_0000.json::2::charts_0000_003,evaluation
1,gives a different value (7.6% and 2.9% instead of 4.4%),charts_0001_001,charts_0001,charts,visual_factuality,dataset/charts/qa/charts_0001.json,dataset/charts/qa/charts_0001.json::0::charts_0001_001,evaluation
0,,charts_0001_002,charts_0001,charts,robustness,dataset/charts/qa/charts_0001.json,dataset/charts/qa/charts_0001.json::1::charts_0001_002,evaluation
0,,charts_0001_003,charts_0001,charts,refusal_behavior,dataset/charts/qa/charts_0001.json,dataset/charts/qa/charts_0001.json::2::charts_0001_003,evaluation
0,,charts_0002_001,charts_0002,charts,visual_factuality,dataset/charts/qa/charts_0002.json,dataset/charts/qa/charts_0002.json::0::charts_0002_001,evaluation
0,,charts_0002_002,charts_0002,charts,robustness,dataset/charts/qa/charts_0002.json,dataset/charts/qa/charts_0002.json::1::charts_0002_002,evaluation
0,,charts_0002_003,charts_0002,charts,refusal_behavior,dataset/charts/qa/charts_0002.json,dataset/charts/qa/charts_0002.json::2::charts_0002_003,evaluation
0,,charts_0004_001,charts_0004,charts,visual_factuality,dataset/charts/qa/charts_0004.json,dataset/charts/qa/charts_0004.json::0::charts_0004_001,evaluation
0,,charts_0004_003,charts_0004,charts,refusal_behavior,dataset/charts/qa/charts_0004.json,dataset/charts/qa/charts_0004.json::2::charts_0004_003,evaluation
0,,charts_0005_001,charts_0005,charts,visual_factuality,dataset/charts/qa/charts_0005.json,dataset/charts/qa/charts_0005.json::0::charts_0005_001,evaluation
0,,charts_0005_002,charts_0005,charts,robustness,dataset/charts/qa/charts_0005.json,dataset/charts/qa/charts_0005.json::1::charts_0005_002,evaluation
0,,charts_0005_003,charts_0005,charts,refusal_behavior,dataset/charts/qa/charts_0005.json,dataset/charts/qa/charts_0005.json::2::charts_0005_003,evaluation
0,,charts_0006_001,charts_0006,charts,visual_factuality,dataset/charts/qa/charts_0006.json,dataset/charts/qa/charts_0006.json::0::charts_0006_001,evaluation
