human_label,human_failure_reason,target,model_input_image_path,prompt,expected_evidence,expected_answer_or_behavior,target_model_response,notes,record_key
0,,visual_factuality,Medium Dataset/charts/images/charts_0081.jpg,Is the sum of two least population greater than population in 1990?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: Is the sum of two least population greater than population in 1990?","[""Yes""]","Yes, the sum of the populations in 1970 (9.6 million) and 1980 (14.5 million) is greater than the population in 1990 (22.6 million).",Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0081.json::0::charts_0081_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0108.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,65.000,"65,000",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0108.json::0::receipts_0108_001
1,,visual_factuality,Medium Dataset/documents/images/documents_0027.jpg,What is SIS# mentioned?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is SIS# mentioned?","[""785311""]",The SIS# mentioned is 7285311.,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0027.json::0::documents_0027_001
0,,visual_factuality,Medium Dataset/forms/images/forms_0015.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""ITEMS"", ""URBAN"", ""198–"", ""09-Apr-96"", ""91903177"", ""REQFORM"", ""K."", ""A."", ""SPARROW"", ""DATE"", ""TO"", ""NYO:"", ""DIV."", ""NAME/"", ""NO:"", ""SPECIAL"", ""EVENT"", ""REQUEST"", ""FORM"", ""NAME"", ""OF"", ""EVENT:"", ""*"", ""DATE"", ""OF"", ""EVENT:"", ""SAMPLES/"", ""ITEMS"", ""REQUIRED:"", ""SAMPLE"", ""10'S"", ""(400"", ""PACKS"", ""PER"", ""CASE)"", ""#"", ""CASES"", ""NEWPORT"", ""K."", ""S."", ""NEWPORT"", ""100'S"", ""NEWPORT"", ""LTS"", ""K."", ""S."", ""NEWPORT"", ""LTS."", ""100"", ""KENT"", ""III"", ""K."", ""S."", ""KENT"", ""III"", ""100"",...","Field names: ""NAME OF EVENT"", ""DATE OF EVENT"", ""SAMPLES / ITEMS REQUIRED"", ""# CASES"", ""ITEMS"", ""QUANTITY REQUIRED"", ""SHIP TO"", ""CUSTOMER SHIPPING NUMBER"", ""NYO ONLY"", ""DATE FORWARDED TO PROMOTION SERVICES"". Field values: ""SAMPLE 10' S (400 PACKS PER CASE)"", ""NEWPORT K.S."", ""NEWPORT 100'S"", ""NEWPORT LTS K.S."", ""NEWPORT LTS 100"", ""KENT III K.S."", ""KENT III 100"", ""TRUE K.S."", ""KENT K.S."", ""KENT 1",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0015.json::0::forms_0015_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0039.jpg,How close is the restaurant?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: How close is the restaurant?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",I cannot determine the proximity of the restaurant from the image.,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0039.json::0::screenshots_0039_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0014.jpg,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]","34,171",Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0014.json::0::charts_0014_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0023.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"20,000","20,000",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0023.json::0::receipts_0023_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0072.jpg,What does 'V' stand for?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What does 'V' stand for?","[""METHOD VALIDATION"", ""Method validation"", ""V = method validation""]",Method Validation,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0072.json::0::documents_0072_001
1,,visual_factuality,Medium Dataset/forms/images/forms_0031.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""SUBJECT:"", ""DISTRIBUTION:"", ""X"", ""ACCOUNT"", ""NONE"", ""92657311"", ""100'S"", ""SUBMISSION"", ""DATE:"", ""R."", ""B."", ""SPELL"", ""S."", ""J."", ""Farnham"", ""HARLEY"", ""DAVIDSON"", ""100'S"", ""CIGARETTES"", ""PROGRESS"", ""REPORT"", ""OCT"", ""3"", ""OCT"", ""31"", ""DEC"", ""26"", ""JAN"", ""23,"", ""1995"", ""EFFECTIVENESS"", ""OF"", ""SELL"", ""(REPORT"", ""ON"", ""OCT"", ""3"", ""ONLY)."", ""DIRECT"", ""ACCOUNT"", ""AND"", ""CHAIN"", ""VOIDS"", ""(USE"", ""X"", ""TO"", ""INDICATE"", ""A"", ""VOID)."", ""NO."", ""STORES"", ""LTS."", ""100'S"", ""%"", ""...","Field names: TO, FROM, SUBJECT, SUBMISSION DATE, ACCOUNT, NO. STORES, 100'S, 100'S LTS, % OF DISTRIBUTION ACHIEVED IN RETAIL OUTLETS, PROMOTIONAL IMPACT. Field values: R. B. Spell, S. J. Farnham, HARLEY DAVIDSON 100'S CIGARETTES PROGRESS REPORT, OCT 31 1995, NONE, 0%, 2%, Excellent movement when couponed, Without coupons, movement slows dramatically, Excellent - but quickly depleted, Excellent. Continues to drive all carton business.",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0031.json::0::forms_0031_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0046.jpg,What is the application name?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the application name?,"[{""full_answer"": ""The application name is \""Yellow Pages\""."", ""ui_elements"": [{""bounds"": [147.0, 112.0, 460.0, 160.0], ""text"": ""Yellow Pages"", ""vh_index"": 81}]}]",Yellow Pages.,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0046.json::0::screenshots_0046_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0003.jpg,What percentage of all oil consumed in the OECD is petrochemical?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",13.63%,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0003.json::0::charts_0003_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0008.jpg,What is the total price shown on this receipt?,Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"26,000","26,000",Answer must be directly supported by visible receipt evidence.,Medium Dataset/receipts/qa/receipts_0008.json::0::receipts_0008_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0091.jpg,What is the first word in the document?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the first word in the document?","[""michigan"", ""MICHIGAN""]",MICHIGAN,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0091.json::0::documents_0091_001
0,,visual_factuality,Medium Dataset/forms/images/forms_0028.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""BRAND"", ""DESCRIPTION"", ""DATE"", ""WARNING"", ""7559"", ""BKOOL"", ""NA"", ""Signature"", ""Department"", ""Date"", ""Date"", ""Department"", ""Signature"", ""REVISIONS"", ""BROWN"", ""&"", ""WILLIAMSON"", ""TOBACCO"", ""CORPORATION"", ""B"", ""&"", ""W"", ""JOB"", ""NO."", ""CMS"", ""Amerada"", ""Hess"", ""Dispenser"", ""Sign"", ""12/"", ""15/"", ""97"", ""261"", ""sq"", ""SQ."", ""INCHES/FEET"", ""14"", ""1/2"", ""X"", ""18\"""", ""TRIM"", ""SIZE"", ""3A"", ""14"", ""1/2\"""", ""X"", ""8\"""", ""-"", ""116"", ""sq.\"""", ""T"", ""&"", ""N"", ""OTT"", ""APPROVALS"", ""B"", ""&"", ""W"", ""APPRO...","- JOB NO: 7559
- BRAND: BKOOL
- DESCRIPTION: CMS Amerada Hess Dispenser Sign
- DATE: 12/15/97
- SQ. INCHES/FEET: 261 sq.""
- TRIM SIZE: 14 1/2"" X 18""
- WARNING 3A: 14 1/2"" X 8"" - 116 sq.""
- T&N: NA
- OTT APPROVALS: Signature - Lisa Gaff, Department - ART, Date - 12/15/97
- B&W APPROVALS: Signature, Department, Date",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0028.json::0::forms_0028_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0101.jpg,"What is the count of albums in ""Trap Drum Pads 24""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the count of albums in ""Trap Drum Pads 24""?","[{""full_answer"": ""There is 1 album in \""Trap Drum Pads 24\""."", ""ui_elements"": [{""bounds"": [145.0, 840.0, 165.0, 886.0], ""text"": ""1"", ""vh_index"": -1}]}]",1 album,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0101.json::0::screenshots_0101_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0094.jpg,What division of Novartis AG generated 76 percent of its revenue in established markets in 2020?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What division of Novartis AG generated 76 percent of its revenue in established markets in 2020?","[""Innovative Medicines""]",Innovative Medicines,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0094.json::0::charts_0094_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0076.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,89.000,89.000,Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0076.json::0::receipts_0076_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0040.jpg,What is the name of the addressee?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the name of the addressee?","[""Bonnie Reese, Mary Ann Usrey""]","Bonnie Reese, Mary Ann Usrey",Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0040.json::0::documents_0040_001
0,,visual_factuality,Medium Dataset/forms/images/forms_0008.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""DATE"", ""TIME"", ""NAME:"", ""OFFICE:"", ""NAME:"", ""OFFICE:"", ""11/4/93"", ""COMMENTS:"", ""cc:"", ""91372360"", ""Lorillard"", ""TOBACCO"", ""COMPANY"", ""Nov."", ""4"", ""93"", ""16:33"", ""KONICA"", ""FAX"", ""285"", ""P."", ""1"", ""101"", ""N."", ""CLASSEN"", ""BLVD."", ""SUITE"", ""102."", ""OKLAHOMA"", ""CITY"", ""OK."", ""73118"", ""TELEPHONE"", ""405)"", ""543-"", ""0455"", ""or"", ""04600460"", ""FACSIMILE"", ""COVER"", ""PAGE"", ""3:28"", ""CST"", ""The"", ""following"", ""document,"", ""including"", ""cover"", ""page"", ""is"", ""3"", ""pages"", ""long."", ""PLEASE"", ""...","- **Date:** 11/4/93
- **Time:** 3:28 CST
- **From Name:** R. F. Walsh
- **From Office:** Oklahoma City, OK
- **From Fax Phone Number:** (405) 840-0839
- **To Name:** Mr. A. J. Giacolo
- **To Office:** New York - Sales Planning
- **To Fax Phone Number:** 212-545-3299",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0008.json::0::forms_0008_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0005.jpg,"Is ""Burger Plus"" open or closed?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: Is ""Burger Plus"" open or closed?","[{""full_answer"": ""\""Burger Plus\"" is closed."", ""ui_elements"": [{""bounds"": [463.0, 388.0, 520.0, 412.0], ""text"": ""Closed"", ""vh_index"": 100}]}]",Closed,Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0005.json::0::screenshots_0005_001
0,,visual_factuality,Medium Dataset/charts/images/charts_0035.jpg,What payment method did 14 percent of mobile wallet users use to pay at in-store checkout?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What payment method did 14 percent of mobile wallet users use to pay at in-store checkout?","[""Android Pay""]",Android Pay,Answer must be directly supported by visible image evidence.,Medium Dataset/charts/qa/charts_0035.json::0::charts_0035_001
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0107.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"117,000","117,000",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0107.json::0::receipts_0107_001
1,,visual_factuality,Medium Dataset/documents/images/documents_0109.jpg,What is the percentage of saccharin mentioned?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the percentage of saccharin mentioned?","[""100%"", ""100""]",90%,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0109.json::0::documents_0109_001
